2026-06-17 00:16:28, tokens_remaining: 1953, call: events, phase: playing
2026-06-17 00:16:29, tokens_remaining: 1952, call: scores, phase: playing
2026-06-17 00:16:30, tokens_remaining: 1952, call: scores, phase: playing
2026-06-17 00:16:31, tokens_remaining: 1951, call: scores, phase: playing
2026-06-17 00:16:32, tokens_remaining: 1951, call: scores, phase: playing
2026-06-17 00:16:33, tokens_remaining: 1950, call: scores, phase: playing
2026-06-17 00:16:34, tokens_remaining: 1950, call: scores, phase: playing
2026-06-17 00:16:35, tokens_remaining: 1949, call: scores, phase: playing
2026-06-17 00:16:36, tokens_remaining: 1949, call: scores, phase: playing
2026-06-17 00:16:37, tokens_remaining: 1948, call: scores, phase: playing
2026-06-17 00:16:39, tokens_remaining: 1947, call: events, phase: playing
2026-06-17 00:16:40, tokens_remaining: 1946, call: scores, phase: playing
2026-06-17 00:16:41, tokens_remaining: 1946, call: scores, phase: playing
2026-06-17 00:16:42, tokens_remaining: 1945, call: scores, phase: playing
2026-06-17 00:16:43, tokens_remaining: 1945, call: scores, phase: playing
2026-06-17 00:16:44, tokens_remaining: 1944, call: scores, phase: playing
2026-06-17 00:16:45, tokens_remaining: 1944, call: scores, phase: playing
2026-06-17 00:16:46, tokens_remaining: 1943, call: scores, phase: playing
2026-06-17 00:16:47, tokens_remaining: 1943, call: scores, phase: playing
2026-06-17 00:16:48, tokens_remaining: 1942, call: scores, phase: playing
2026-06-17 00:16:49, tokens_remaining: 1941, call: events, phase: playing
2026-06-17 00:16:50, tokens_remaining: 1940, call: scores, phase: playing
2026-06-17 00:16:51, tokens_remaining: 1940, call: scores, phase: playing
2026-06-17 00:16:52, tokens_remaining: 1939, call: scores, phase: playing
2026-06-17 00:16:53, tokens_remaining: 1939, call: scores, phase: playing
2026-06-17 00:16:54, tokens_remaining: 1938, call: scores, phase: playing
2026-06-17 00:16:55, tokens_remaining: 1938, call: scores, phase: playing
2026-06-17 00:16:57, tokens_remaining: 1937, call: scores, phase: playing
2026-06-17 00:16:57, tokens_remaining: 1937, call: scores, phase: playing
2026-06-17 00:16:59, tokens_remaining: 1936, call: scores, phase: playing
2026-06-17 00:17:00, tokens_remaining: 1935, call: events, phase: playing
2026-06-17 00:17:01, tokens_remaining: 1934, call: scores, phase: playing
2026-06-17 00:17:02, tokens_remaining: 1934, call: scores, phase: playing
2026-06-17 00:17:03, tokens_remaining: 1933, call: scores, phase: playing
2026-06-17 00:17:04, tokens_remaining: 1933, call: scores, phase: playing
2026-06-17 00:17:05, tokens_remaining: 1932, call: scores, phase: playing
2026-06-17 00:17:06, tokens_remaining: 1932, call: scores, phase: playing
2026-06-17 00:17:07, tokens_remaining: 1931, call: scores, phase: playing
2026-06-17 00:17:08, tokens_remaining: 1931, call: scores, phase: playing
2026-06-17 00:17:09, tokens_remaining: 1930, call: scores, phase: playing
2026-06-17 00:17:10, tokens_remaining: 1929, call: events, phase: playing
2026-06-17 00:17:11, tokens_remaining: 1928, call: scores, phase: playing
2026-06-17 00:17:12, tokens_remaining: 1928, call: scores, phase: playing
2026-06-17 00:17:13, tokens_remaining: 1927, call: scores, phase: playing
2026-06-17 00:17:14, tokens_remaining: 1927, call: scores, phase: playing
2026-06-17 00:17:15, tokens_remaining: 1926, call: scores, phase: playing
2026-06-17 00:17:16, tokens_remaining: 1926, call: scores, phase: playing
2026-06-17 00:17:17, tokens_remaining: 1925, call: scores, phase: playing
2026-06-17 00:17:18, tokens_remaining: 1925, call: scores, phase: playing
2026-06-17 00:17:19, tokens_remaining: 1924, call: scores, phase: playing
2026-06-17 00:17:21, tokens_remaining: 1923, call: events, phase: playing
2026-06-17 00:17:22, tokens_remaining: 1922, call: scores, phase: playing
2026-06-17 00:17:23, tokens_remaining: 1922, call: scores, phase: playing
2026-06-17 00:17:24, tokens_remaining: 1921, call: scores, phase: playing
2026-06-17 00:17:25, tokens_remaining: 1921, call: scores, phase: playing
2026-06-17 00:17:26, tokens_remaining: 1920, call: scores, phase: playing
2026-06-17 00:17:27, tokens_remaining: 1920, call: scores, phase: playing
2026-06-17 00:17:28, tokens_remaining: 1919, call: scores, phase: playing
2026-06-17 00:17:29, tokens_remaining: 1919, call: scores, phase: playing
2026-06-17 00:17:30, tokens_remaining: 1918, call: scores, phase: playing
2026-06-17 00:17:31, tokens_remaining: 1917, call: events, phase: playing
2026-06-17 00:17:32, tokens_remaining: 1916, call: scores, phase: playing
2026-06-17 00:17:33, tokens_remaining: 1916, call: scores, phase: playing
2026-06-17 00:17:34, tokens_remaining: 1915, call: scores, phase: playing
2026-06-17 00:17:35, tokens_remaining: 1915, call: scores, phase: playing
2026-06-17 00:17:36, tokens_remaining: 1914, call: scores, phase: playing
2026-06-17 00:17:37, tokens_remaining: 1914, call: scores, phase: playing
2026-06-17 00:17:38, tokens_remaining: 1913, call: scores, phase: playing
2026-06-17 00:17:39, tokens_remaining: 1913, call: scores, phase: playing
2026-06-17 00:17:40, tokens_remaining: 1912, call: scores, phase: playing
2026-06-17 00:17:41, tokens_remaining: 1911, call: events, phase: playing
2026-06-17 00:17:42, tokens_remaining: 1910, call: scores, phase: playing
2026-06-17 00:17:43, tokens_remaining: 1910, call: scores, phase: playing
2026-06-17 00:17:44, tokens_remaining: 1909, call: scores, phase: playing
2026-06-17 00:17:45, tokens_remaining: 1909, call: scores, phase: playing
2026-06-17 00:17:47, tokens_remaining: 1908, call: scores, phase: playing
2026-06-17 00:17:47, tokens_remaining: 1908, call: scores, phase: playing
2026-06-17 00:17:49, tokens_remaining: 1907, call: scores, phase: playing
2026-06-17 00:17:49, tokens_remaining: 1907, call: scores, phase: playing
2026-06-17 00:17:51, tokens_remaining: 1906, call: scores, phase: playing
2026-06-17 00:17:52, tokens_remaining: 1905, call: events, phase: playing
2026-06-17 00:17:53, tokens_remaining: 1904, call: scores, phase: playing
2026-06-17 00:17:54, tokens_remaining: 1904, call: scores, phase: playing
2026-06-17 00:17:55, tokens_remaining: 1903, call: scores, phase: playing
2026-06-17 00:17:56, tokens_remaining: 1903, call: scores, phase: playing
