2026-06-16 15:15:18, tokens_remaining: 1781, call: scores, phase: playing
2026-06-16 15:15:20, tokens_remaining: 1780, call: events, phase: playing
2026-06-16 15:15:21, tokens_remaining: 1779, call: scores, phase: playing
2026-06-16 15:15:22, tokens_remaining: 1778, call: scores, phase: playing
2026-06-16 15:15:24, tokens_remaining: 1777, call: scores, phase: playing
2026-06-16 15:15:25, tokens_remaining: 1776, call: scores, phase: playing
2026-06-16 15:15:26, tokens_remaining: 1775, call: scores, phase: playing
2026-06-16 15:15:27, tokens_remaining: 1774, call: scores, phase: playing
2026-06-16 15:15:29, tokens_remaining: 1773, call: scores, phase: playing
2026-06-16 15:15:30, tokens_remaining: 1772, call: scores, phase: playing
2026-06-16 15:15:31, tokens_remaining: 1771, call: scores, phase: playing
2026-06-16 15:15:33, tokens_remaining: 1770, call: events, phase: playing
2026-06-16 15:15:34, tokens_remaining: 1769, call: scores, phase: playing
2026-06-16 15:15:35, tokens_remaining: 1768, call: scores, phase: playing
2026-06-16 15:15:36, tokens_remaining: 1767, call: scores, phase: playing
2026-06-16 15:15:38, tokens_remaining: 1766, call: scores, phase: playing
2026-06-16 15:15:39, tokens_remaining: 1765, call: scores, phase: playing
2026-06-16 15:15:40, tokens_remaining: 1764, call: scores, phase: playing
2026-06-16 15:15:42, tokens_remaining: 1763, call: scores, phase: playing
2026-06-16 15:15:43, tokens_remaining: 1762, call: scores, phase: playing
2026-06-16 15:15:44, tokens_remaining: 1761, call: scores, phase: playing
2026-06-16 15:15:45, tokens_remaining: 1760, call: events, phase: playing
2026-06-16 15:15:47, tokens_remaining: 1759, call: scores, phase: playing
2026-06-16 15:15:48, tokens_remaining: 1758, call: scores, phase: playing
2026-06-16 15:15:49, tokens_remaining: 1757, call: scores, phase: playing
2026-06-16 15:15:51, tokens_remaining: 1756, call: scores, phase: playing
2026-06-16 15:15:52, tokens_remaining: 1755, call: scores, phase: playing
2026-06-16 15:15:53, tokens_remaining: 1754, call: scores, phase: playing
2026-06-16 15:15:54, tokens_remaining: 1753, call: scores, phase: playing
2026-06-16 15:15:56, tokens_remaining: 1752, call: scores, phase: playing
2026-06-16 15:15:57, tokens_remaining: 1751, call: scores, phase: playing
2026-06-16 15:15:58, tokens_remaining: 1750, call: events, phase: playing
2026-06-16 15:16:00, tokens_remaining: 1749, call: scores, phase: playing
2026-06-16 15:16:01, tokens_remaining: 1748, call: scores, phase: playing
2026-06-16 15:16:02, tokens_remaining: 1747, call: scores, phase: playing
2026-06-16 15:16:03, tokens_remaining: 1746, call: scores, phase: playing
2026-06-16 15:16:05, tokens_remaining: 1745, call: scores, phase: playing
2026-06-16 15:16:06, tokens_remaining: 1744, call: scores, phase: playing
2026-06-16 15:16:07, tokens_remaining: 1743, call: scores, phase: playing
2026-06-16 15:16:09, tokens_remaining: 1742, call: scores, phase: playing
2026-06-16 15:16:10, tokens_remaining: 1741, call: scores, phase: playing
2026-06-16 15:16:11, tokens_remaining: 1740, call: events, phase: playing
2026-06-16 15:16:12, tokens_remaining: 1739, call: scores, phase: playing
2026-06-16 15:16:14, tokens_remaining: 1738, call: scores, phase: playing
2026-06-16 15:16:15, tokens_remaining: 1737, call: scores, phase: playing
2026-06-16 15:16:16, tokens_remaining: 1736, call: scores, phase: playing
2026-06-16 15:16:17, tokens_remaining: 1735, call: scores, phase: playing
2026-06-16 15:16:19, tokens_remaining: 1734, call: scores, phase: playing
2026-06-16 15:16:20, tokens_remaining: 1733, call: scores, phase: playing
2026-06-16 15:16:21, tokens_remaining: 1732, call: scores, phase: playing
2026-06-16 15:16:23, tokens_remaining: 1731, call: scores, phase: playing
2026-06-16 15:16:24, tokens_remaining: 1730, call: events, phase: playing
2026-06-16 15:16:25, tokens_remaining: 1729, call: scores, phase: playing
2026-06-16 15:16:26, tokens_remaining: 1728, call: scores, phase: playing
2026-06-16 15:16:28, tokens_remaining: 1727, call: scores, phase: playing
2026-06-16 15:16:29, tokens_remaining: 1726, call: scores, phase: playing
2026-06-16 15:16:30, tokens_remaining: 1725, call: scores, phase: playing
2026-06-16 15:16:31, tokens_remaining: 1724, call: scores, phase: playing
2026-06-16 15:16:33, tokens_remaining: 1723, call: scores, phase: playing
2026-06-16 15:16:34, tokens_remaining: 1722, call: scores, phase: playing
2026-06-16 15:16:35, tokens_remaining: 1721, call: scores, phase: playing
2026-06-16 15:16:37, tokens_remaining: 1720, call: events, phase: playing
2026-06-16 15:16:38, tokens_remaining: 1719, call: scores, phase: playing
2026-06-16 15:16:39, tokens_remaining: 1718, call: scores, phase: playing
